0 -0.1906
0.0314 -0.158824
0.0628 -0.127079
0.0942 -0.0953953
0.1256 -0.0638048
0.157 -0.0323378
0.1884 -0.001025
0.2198 0.0301032
0.2512 0.0610164
0.2826 0.0916846
0.314 0.122078
0.3454 0.152167
0.3768 0.181922
0.4082 0.211314
0.4396 0.240315
0.471 0.268896
0.5024 0.29703
0.5338 0.324689
0.5652 0.351847
0.5966 0.378476
0.628 0.404552
0.6594 0.430048
0.6908 0.454941
0.7222 0.479205
0.7536 0.502818
0.785 0.525756
0.8164 0.547997
0.8478 0.56952
0.8792 0.590303
0.9106 0.610327
0.942 0.629573
0.9734 0.648021
1.0048 0.665654
1.0362 0.682455
1.0676 0.698407
1.099 0.713496
1.1304 0.727707
1.1618 0.741025
1.1932 0.75344
1.2246 0.764938
1.256 0.775508
1.2874 0.785141
1.3188 0.793828
1.3502 0.801559
1.3816 0.808329
1.413 0.814131
1.4444 0.818958
1.4758 0.822808
1.5072 0.825677
1.5386 0.827561
1.57 0.82846
1.6014 0.828374
1.6328 0.827301
1.6642 0.825245
1.6956 0.822208
1.727 0.818192
1.7584 0.813202
1.7898 0.807244
1.8212 0.800323
1.8526 0.792447
1.884 0.783624
1.9154 0.773863
1.9468 0.763175
1.9782 0.751569
2.0096 0.739058
2.041 0.725655
2.0724 0.711373
2.1038 0.696226
2.1352 0.68023
2.1666 0.663401
2.198 0.645757
2.2294 0.627314
2.2608 0.608091
2.2922 0.588108
2.3236 0.567385
2.355 0.545942
2.3864 0.523801
2.4178 0.500985
2.4492 0.477515
2.4806 0.453416
2.512 0.428712
2.5434 0.403428
2.5748 0.377588
2.6062 0.351219
2.6376 0.324347
2.669 0.296999
2.7004 0.269202
2.7318 0.240984
2.7632 0.212374
2.7946 0.183399
2.826 0.154089
2.8574 0.124473
2.8888 0.0945802
2.9202 0.0644411
2.9516 0.0340855
2.983 0.00354368
3.0144 -0.0271538
3.0458 -0.0579764
3.0772 -0.0888932
3.1086 -0.119874
3.14 -0.150886
3.1714 -0.181901
3.2028 -0.212886
3.2342 -0.24381
3.2656 -0.274644
3.297 -0.305355
3.3284 -0.335914
3.3598 -0.36629
3.3912 -0.396453
3.4226 -0.426372
3.454 -0.456017
3.4854 -0.48536
3.5168 -0.51437
3.5482 -0.543019
3.5796 -0.571278
3.611 -0.599119
3.6424 -0.626514
3.6738 -0.653435
3.7052 -0.679856
3.7366 -0.705751
3.768 -0.731093
3.7994 -0.755857
3.8308 -0.780018
3.8622 -0.803552
3.8936 -0.826436
3.925 -0.848646
3.9564 -0.870161
3.9878 -0.890958
4.0192 -0.911017
4.0506 -0.930318
4.082 -0.948841
4.1134 -0.966568
4.1448 -0.98348
4.1762 -0.999561
4.2076 -1.01479
4.239 -1.02917
4.2704 -1.04266
4.3018 -1.05526
4.3332 -1.06696
4.3646 -1.07774
4.396 -1.0876
4.4274 -1.09651
4.4588 -1.10449
4.4902 -1.1115
4.5216 -1.11756
4.553 -1.12265
4.5844 -1.12676
4.6158 -1.1299
4.6472 -1.13206
4.6786 -1.13323
4.71 -1.13342
4.7414 -1.13262
4.7728 -1.13083
4.8042 -1.12806
4.8356 -1.12431
4.867 -1.11958
4.8984 -1.11388
4.9298 -1.10721
4.9612 -1.09957
4.9926 -1.09098
5.024 -1.08145
5.0554 -1.07097
5.0868 -1.05957
5.1182 -1.04725
5.1496 -1.03402
5.181 -1.0199
5.2124 -1.0049
5.2438 -0.989031
5.2752 -0.972315
5.3066 -0.954766
5.338 -0.9364
5.3694 -0.917235
5.4008 -0.897289
5.4322 -0.876581
5.4636 -0.855132
5.495 -0.832963
5.5264 -0.810095
5.5578 -0.78655
5.5892 -0.762351
5.6206 -0.737521
5.652 -0.712084
5.6834 -0.686066
5.7148 -0.659492
5.7462 -0.632387
5.7776 -0.604777
5.809 -0.57669
5.8404 -0.548153
5.8718 -0.519193
5.9032 -0.48984
5.9346 -0.46012
5.966 -0.430064
5.9974 -0.3997
6.0288 -0.369058
6.0602 -0.338169
6.0916 -0.307061
6.123 -0.275765
6.1544 -0.244313
6.1858 -0.212733
6.2172 -0.181058
6.2486 -0.149318
6.28 -0.117544
6.3114 -0.0857661
6.3428 -0.0540164
6.3742 -0.0223255
6.4056 0.00927577
6.437 0.0407567
6.4684 0.0720866
6.4998 0.103235
6.5312 0.134171
6.5626 0.164866
6.594 0.195288
6.6254 0.225409
6.6568 0.255199
6.6882 0.28463
6.7196 0.313672
6.751 0.342297
6.7824 0.370477
6.8138 0.398186
6.8452 0.425396
6.8766 0.45208
6.908 0.478213
6.9394 0.503769
6.9708 0.528724
7.0022 0.553053
7.0336 0.576733
7.065 0.59974
7.0964 0.622053
7.1278 0.64365
7.1592 0.664509
7.1906 0.684611
7.222 0.703936
7.2534 0.722466
7.2848 0.740183
7.3162 0.757069
7.3476 0.773108
7.379 0.788285
7.4104 0.802586
7.4418 0.815995
7.4732 0.828502
7.5046 0.840093
7.536 0.850758
7.5674 0.860487
7.5988 0.86927
7.6302 0.877099
7.6616 0.883967
7.693 0.889866
7.7244 0.894793
7.7558 0.898743
7.7872 0.901711
7.8186 0.903695
7.85 0.904694
7.8814 0.904707
7.9128 0.903735
7.9442 0.901779
7.9756 0.898841
8.007 0.894924
8.0384 0.890032
8.0698 0.884172
8.1012 0.877349
8.1326 0.869569
8.164 0.860842
8.1954 0.851176
8.2268 0.840581
8.2582 0.829068
8.2896 0.816648
8.321 0.803335
8.3524 0.789141
8.3838 0.774082
8.4152 0.758171
8.4466 0.741426
8.478 0.723863
8.5094 0.7055
